id,sku,name,brand_name,price,discount,discount_rate,rating_average,review_count,order_count,favourite_count,productset_id,seller,inventory,stock_item,seller_product_id,quantity_sold,original_price,shippable,availability,primary_category_path,product_reco_score,seller_id,thumbnail_url
194490386,1843154212584,Điện Thoại Oppo Reno8 4G (8GB/256GB) - Hàng Chính Hãng,OPPO,7956000,0,0,0,0,0,0,2647,,,,253399030,,7956000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/49/ab/c1/8025834bd1439498f8af3a90f7a52ce2.jpg
225243804,4343282162175,Điện thoại Samsung Galaxy S23 Plus 8GB/512GB Tím - Hàng chính hãng,Samsung,28000000,0,0,0,0,0,0,2647,,,,225961865,,28000000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/fc/5c/f0/2169212cde4edb4dd0e3e246ccecedc8.jpg
225175114,2737712601089,Điện thoại Xiaomi Redmi 10C 4GB - 128GB - Hàng Chính Hãng,Xiaomi,3590000,0,0,0,0,0,0,2647,,,,225175120,,3590000,True,1,1/2/1789/1795,0,34716,https://salt.tikicdn.com/cache/280x280/ts/product/aa/8c/f9/9b5a6b369dc341b9ec3297611ea6796b.jpg
195962857,5866376514689,Điện thoại OPPO Reno8 Z 5G (8 GB/256 GB) - Hàng chính hãng,OPPO,8644000,0,0,0,0,0,0,2647,,,,253386407,,8644000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/ef/7b/2c/f256e22bd1045d00a99d12c68acd926b.png
230055130,3648005583888,Điện thoại Oppo Reno8 T (8GB/256GB) - Hàng chính hãng,OPPO,10392000,0,0,0,0,0,0,2647,,,,253399172,,10392000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/d2/41/2c/ce0a19af0d584003341c3139d54894cc.jpg
225264029,1428338631281,Điện thoại Samsung Galaxy S23 8GB/128GB Xanh lục - Hàng chính hãng,Samsung,20665000,2826000,12,0,0,0,0,2647,,,,225961848,,23491000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/f4/09/1f/8ea6b17bb26bcae5b9b7995346a3b037.jpg
123565891,3107300137844,Điện thoại di động Vivo Y21s (4GB/128GB) - Hàng chính hãng,Vivo,4990000,0,0,0,0,0,0,2647,,,,144762667,,4990000,True,1,1/2/1789/1795,0,235971,https://salt.tikicdn.com/cache/280x280/ts/product/e6/b8/02/65387a09b2db64c461294e1809d4d507.jpg
198734319,2761699447343,Điện Thoại OPPO A96 (8GB/128GB) - Hàng Chính Hãng,OPPO,6348000,0,0,0,0,0,0,2647,,,,253386324,,6348000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/b3/84/7d/ce918fd0d9d3028f768c29ca73f7a4c8.jpg
207268125,8324006552165,Điện thoại Xiaomi Redmi 10C (4 +128) Xanh Dương - Hàng Chính Hãng (chỉ giao HN và một số khu vực),Xiaomi,3468000,0,0,0,0,0,0,2647,,,,216940076,,3468000,True,1,1/2/1789/1795,0,11119,https://salt.tikicdn.com/cache/280x280/ts/product/bf/89/20/0144f11cd999a9e405129a4740678362.jpg
263041214,4181515201834,Điện thoại Gaming Tecno POVA 4 8GB/128GB - Hàng Chính Hãng - MediaTek G99 | 6000mAh - 6.82 inch - Bảo hành 13 Tháng,Tecno,3890000,800000,17,0,0,0,0,2647,,,,263041218,,4690000,True,1,1/2/1789/1795,0,189668,https://salt.tikicdn.com/cache/280x280/ts/product/5f/0d/d3/f234969b71489748af0bd1101c8893cd.jpg
